AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
30,5.0,1.0,40.0,20000.0
29,45.0,1.0,37.0,26000.0
60,,,,24900.0
72,,,,6600.0
80,,,,9000.0
46,,,,4300.0
34,35.0,1.0,50.0,163000.0
70,,,45.0,149000.0
59,30.0,,50.0,74000.0
34,5.0,1.0,30.0,34600.0
30,8.0,2.0,20.0,18000.0
20,5.0,,16.0,8600.0
7,,,,
62,45.0,,40.0,21500.0
16,,,,0.0
73,155.0,1.0,30.0,21750.0
69,,,,9000.0
85,,,,0.0
21,5.0,,50.0,25000.0
47,35.0,1.0,55.0,73000.0
84,,,,25600.0
36,60.0,2.0,17.0,4100.0
32,,,,0.0
46,30.0,1.0,45.0,58000.0
66,,,,21000.0
62,,,,0.0
10,,,,
24,20.0,1.0,20.0,20000.0
39,20.0,2.0,36.0,40000.0
14,,,,
44,47.0,1.0,50.0,87000.0
37,25.0,1.0,40.0,32000.0
30,15.0,1.0,45.0,32000.0
61,95.0,1.0,40.0,10000.0
35,10.0,1.0,36.0,108000.0
12,,,,
6,,,,
52,30.0,1.0,30.0,6000.0
43,30.0,1.0,40.0,49800.0
64,,,,14400.0
79,,,,0.0
77,,,,14500.0
3,,,,
36,30.0,2.0,40.0,36000.0
70,3.0,,40.0,60000.0
56,2.0,1.0,40.0,87900.0
79,,,,20830.0
66,,,,17000.0
51,10.0,1.0,50.0,414000.0
23,55.0,1.0,52.0,82000.0
17,,,,0.0
37,13.0,1.0,40.0,46000.0
52,,,10.0,15000.0
13,,,,
70,,,,20200.0
58,30.0,1.0,40.0,88080.0
77,,,,9700.0
95,,,,19700.0
81,,,,26100.0
39,45.0,1.0,40.0,95000.0
86,,,,79400.0
56,,,,0.0
39,6.0,1.0,56.0,92000.0
47,,,34.0,25600.0
72,,,,19200.0
83,,,,303800.0
43,12.0,1.0,38.0,60080.0
57,15.0,1.0,40.0,70000.0
19,,,,0.0
73,,,,16800.0
26,60.0,,20.0,8000.0
54,,,,0.0
37,15.0,1.0,24.0,19000.0
57,,,,19000.0
41,,,,0.0
64,,,,32700.0
63,,,32.0,14600.0
7,,,,
45,10.0,1.0,40.0,40000.0
36,,,,1200.0
73,,,,36000.0
53,,,,14400.0
81,,,,13500.0
10,,,,
46,30.0,1.0,40.0,60000.0
29,5.0,2.0,40.0,28000.0
78,,,,42500.0
86,,,,18000.0
49,30.0,1.0,40.0,48000.0
