AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
49,45.0,1.0,54.0,174000.0
17,20.0,1.0,15.0,100.0
57,,,,10500.0
49,,,,0.0
53,20.0,1.0,40.0,95100.0
70,,,,89000.0
60,20.0,1.0,28.0,8000.0
68,,,,11600.0
61,,,,18100.0
29,30.0,1.0,40.0,30000.0
37,,,,10000.0
88,,,,17500.0
18,,,,0.0
71,,,,9600.0
40,,,,0.0
49,20.0,1.0,50.0,369200.0
5,,,,
17,10.0,1.0,16.0,3000.0
49,,,,0.0
23,60.0,1.0,40.0,26000.0
52,45.0,1.0,65.0,38000.0
93,,,,17400.0
73,,,,14900.0
45,20.0,1.0,40.0,142000.0
89,,,,0.0
61,,,,0.0
28,,,40.0,11000.0
59,15.0,1.0,40.0,34000.0
72,,,,32300.0
89,,,,28000.0
40,12.0,1.0,20.0,30000.0
50,15.0,1.0,40.0,14000.0
65,,,,26800.0
42,,,,0.0
62,,,,4000.0
73,,,55.0,37900.0
77,,,,19600.0
50,,,,0.0
35,35.0,1.0,40.0,40000.0
1,,,,
20,5.0,2.0,7.0,2200.0
49,20.0,1.0,40.0,25000.0
5,,,,
41,15.0,1.0,40.0,44000.0
52,20.0,1.0,40.0,50000.0
60,,,,0.0
44,25.0,1.0,50.0,12000.0
9,,,,
30,60.0,1.0,55.0,58000.0
93,,,,15500.0
53,5.0,1.0,30.0,51200.0
5,,,,
69,,,,398500.0
58,,,,0.0
35,,,,0.0
20,3.0,1.0,35.0,28000.0
56,,,50.0,259000.0
31,60.0,1.0,40.0,45000.0
66,,,,4100.0
19,,,,0.0
42,5.0,1.0,40.0,30000.0
41,,,,0.0
2,,,,
19,10.0,1.0,16.0,3700.0
75,,,,35000.0
27,25.0,1.0,40.0,36000.0
9,,,,
56,,,,0.0
49,15.0,1.0,45.0,207000.0
62,45.0,1.0,44.0,87000.0
63,,,6.0,29500.0
50,,,,0.0
57,20.0,1.0,40.0,46000.0
67,,,,8900.0
13,,,,
19,,,40.0,2600.0
72,,,,7700.0
6,,,,
33,20.0,1.0,10.0,70000.0
42,45.0,1.0,40.0,136000.0
38,90.0,2.0,40.0,60000.0
49,25.0,1.0,80.0,18400.0
69,,,,12000.0
69,,,,22400.0
43,7.0,1.0,40.0,24000.0
23,5.0,2.0,20.0,10000.0
68,,,,74020.0
61,,,,13200.0
18,5.0,1.0,25.0,2100.0
50,,,,-1900.0
58,15.0,1.0,40.0,98000.0
17,,,,6000.0
64,,,,8740.0
56,15.0,1.0,50.0,18000.0
34,25.0,1.0,42.0,57700.0
47,,,,0.0
43,60.0,1.0,60.0,67000.0
27,25.0,1.0,40.0,60000.0
53,50.0,1.0,50.0,60000.0
59,,,,13000.0
75,,,,40000.0
59,45.0,1.0,40.0,166300.0
77,,,,81500.0
1,,,,
69,,,32.0,9200.0
55,,,40.0,39000.0
56,20.0,1.0,50.0,160000.0
62,,,,820.0
35,8.0,1.0,70.0,125000.0
58,20.0,1.0,40.0,105000.0
48,,,,0.0
6,,,,
21,10.0,1.0,52.0,20000.0
22,,,28.0,2220.0
84,,,,16000.0
65,,,,10000.0
59,8.0,1.0,40.0,90000.0
36,60.0,2.0,36.0,10000.0
59,25.0,1.0,50.0,97000.0
15,,,,0.0
46,,,38.0,5000.0
60,4.0,1.0,40.0,80000.0
16,,,,0.0
75,,,,8900.0
62,,,90.0,11820.0
81,,,,20400.0
56,,,,0.0
93,,,,10800.0
32,,,,0.0
42,25.0,1.0,40.0,23000.0
9,,,,
45,20.0,2.0,40.0,19000.0
31,25.0,1.0,20.0,3300.0
82,,,,18600.0
55,50.0,1.0,44.0,75000.0
40,28.0,1.0,40.0,35000.0
71,,,,43800.0
80,,,,18000.0
19,,,,0.0
62,75.0,1.0,50.0,87270.0
46,10.0,1.0,40.0,100000.0
29,,,,0.0
84,,,,48000.0
20,,,20.0,2000.0
86,,,,31900.0
60,10.0,1.0,40.0,23500.0
38,25.0,1.0,40.0,54000.0
21,,,50.0,13500.0
37,50.0,1.0,55.0,121200.0
54,,,,0.0
70,,,,19300.0
75,,,,11000.0
76,,,,17990.0
23,15.0,3.0,30.0,11000.0
39,,,,0.0
41,,,,0.0
1,,,,
42,,,40.0,8000.0
80,,,,35000.0
66,,,40.0,26400.0
41,10.0,1.0,32.0,12700.0
28,90.0,1.0,25.0,12000.0
60,30.0,1.0,45.0,96000.0
49,5.0,1.0,40.0,50000.0
15,,,,0.0
59,,,,0.0
13,,,,
42,,,,9300.0
26,,,,0.0
76,,,,33800.0
18,,,,0.0
43,,,,0.0
19,30.0,1.0,48.0,21800.0
62,,,,9000.0
58,20.0,1.0,37.0,10510.0
82,,,,7200.0
5,,,,
65,,,,1400.0
30,22.0,1.0,40.0,30000.0
27,45.0,1.0,40.0,30000.0
17,,,,0.0
62,10.0,1.0,40.0,95000.0
26,35.0,1.0,50.0,47000.0
38,90.0,1.0,50.0,80000.0
43,,,,0.0
58,154.0,1.0,40.0,42000.0
47,,,,0.0
55,25.0,1.0,36.0,13000.0
14,,,,
44,30.0,1.0,40.0,78000.0
45,5.0,1.0,17.0,7000.0
87,,,,12600.0
66,5.0,2.0,40.0,17800.0
12,,,,
21,,,,0.0
62,,,,750.0
45,10.0,1.0,37.0,13900.0
36,15.0,1.0,40.0,20000.0
46,38.0,1.0,40.0,36000.0
7,,,,
15,,,,0.0
34,45.0,10.0,40.0,2400.0
69,,,,17200.0
74,,,,9300.0
10,,,,
44,,,4.0,2000.0
45,15.0,2.0,40.0,50000.0
58,,,,0.0
41,10.0,1.0,40.0,22000.0
58,20.0,1.0,40.0,28100.0
82,,,,0.0
17,,,,0.0
32,30.0,1.0,40.0,28000.0
93,,,,272100.0
25,20.0,1.0,20.0,6200.0
55,45.0,1.0,50.0,368000.0
37,50.0,1.0,40.0,39000.0
59,45.0,1.0,32.0,49000.0
48,,,,0.0
60,,,,0.0
19,,,,0.0
10,,,,
34,10.0,1.0,40.0,110080.0
60,45.0,1.0,45.0,95050.0
4,,,,
22,42.0,1.0,15.0,12800.0
52,43.0,1.0,32.0,35000.0
61,,,,29000.0
63,15.0,1.0,16.0,34200.0
57,,,,34800.0
66,,,,8000.0
65,15.0,1.0,60.0,127900.0
1,,,,
48,30.0,1.0,40.0,80000.0
50,15.0,1.0,60.0,50000.0
76,25.0,1.0,40.0,65000.0
72,,,,17000.0
52,20.0,2.0,40.0,81280.0
38,,,,0.0
63,5.0,1.0,38.0,82500.0
61,15.0,1.0,28.0,18700.0
15,,,,0.0
5,,,,
57,,,,20000.0
22,20.0,1.0,25.0,10000.0
81,,,,20000.0
88,,,,4400.0
1,,,,
6,,,,
16,,,,11000.0
22,,,40.0,10700.0
66,,,,21710.0
19,,,,0.0
49,30.0,1.0,40.0,22000.0
20,,,16.0,3500.0
6,,,,
16,,,,0.0
68,,,,7000.0
9,,,,
24,30.0,1.0,40.0,17000.0
60,35.0,1.0,40.0,84700.0
48,10.0,1.0,40.0,180350.0
73,,,,60000.0
38,,,,0.0
42,45.0,1.0,38.0,65200.0
41,10.0,1.0,35.0,14000.0
77,,,,22100.0
18,,,,800.0
51,12.0,1.0,36.0,48000.0
19,,,,0.0
64,,,,8300.0
5,,,,
31,,,40.0,20800.0
14,,,,
15,,,,0.0
82,,,,31200.0
41,13.0,1.0,40.0,35000.0
10,,,,
3,,,,
54,30.0,1.0,45.0,21000.0
60,20.0,1.0,40.0,35000.0
61,,,,13000.0
64,45.0,1.0,24.0,12000.0
16,,,16.0,380.0
59,,,,10800.0
57,40.0,2.0,40.0,35000.0
1,,,,
78,,,,12700.0
56,30.0,1.0,12.0,46300.0
5,,,,
82,,,,14400.0
61,,,,0.0
8,,,,
70,,,,27000.0
29,8.0,1.0,15.0,9500.0
54,,,,0.0
57,40.0,1.0,25.0,15600.0
75,15.0,1.0,40.0,48000.0
60,30.0,1.0,48.0,80000.0
59,45.0,1.0,56.0,125000.0
3,,,,
76,,,,11400.0
9,,,,
20,,,20.0,12000.0
6,,,,
62,15.0,1.0,42.0,156100.0
49,,,17.0,7250.0
3,,,,
62,20.0,1.0,40.0,36000.0
55,30.0,1.0,40.0,30000.0
63,,,,31200.0
42,40.0,2.0,50.0,41000.0
35,1.0,2.0,45.0,25600.0
81,,,,14400.0
39,,,21.0,5700.0
84,,,,19700.0
14,,,,
14,,,,
28,6.0,1.0,40.0,35000.0
67,,,,0.0
13,,,,
46,,,,0.0
54,15.0,,18.0,500.0
63,,,,18500.0
2,,,,
26,,,,0.0
7,,,,
49,20.0,1.0,40.0,96000.0
27,15.0,1.0,40.0,3500.0
18,,,,8400.0
72,,,,76500.0
17,,,,0.0
42,30.0,1.0,60.0,73000.0
55,30.0,1.0,45.0,210500.0
16,,,,0.0
66,,,,10700.0
30,20.0,1.0,32.0,8500.0
70,,,,19100.0
26,45.0,1.0,40.0,45000.0
78,,,40.0,444000.0
35,,,48.0,50000.0
65,,,,17400.0
