AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
32,10.0,1.0,26.0,16000.0
62,25.0,1.0,20.0,57600.0
65,30.0,1.0,30.0,31300.0
67,145.0,,15.0,67400.0
45,15.0,3.0,60.0,46000.0
59,40.0,1.0,36.0,5600.0
27,15.0,1.0,40.0,14000.0
54,20.0,1.0,40.0,49000.0
29,,,,12300.0
63,,,,25710.0
22,20.0,3.0,35.0,14400.0
61,,,,12000.0
68,,,,8400.0
62,10.0,1.0,40.0,51000.0
3,,,,
49,35.0,2.0,40.0,100000.0
19,40.0,1.0,12.0,6000.0
74,,,,30000.0
75,,,,26300.0
2,,,,
15,,,,11000.0
27,,,40.0,10000.0
27,,,40.0,52000.0
44,145.0,,5.0,12040.0
63,15.0,1.0,40.0,58000.0
64,,,40.0,42600.0
64,40.0,1.0,50.0,60000.0
21,15.0,,9.0,6000.0
24,20.0,1.0,40.0,8300.0
35,25.0,1.0,45.0,106000.0
63,,,,50000.0
73,,,,33000.0
53,20.0,1.0,40.0,45000.0
24,,,,0.0
35,35.0,1.0,35.0,80000.0
21,20.0,1.0,90.0,10000.0
30,,,50.0,1000.0
58,,,,0.0
58,,,10.0,15000.0
54,20.0,1.0,40.0,64010.0
72,145.0,1.0,40.0,132800.0
82,,,,22840.0
57,30.0,1.0,40.0,59600.0
60,20.0,3.0,40.0,49000.0
27,,,30.0,62000.0
80,,,,9000.0
14,,,,
65,10.0,1.0,40.0,44000.0
72,,,,30200.0
29,,,,0.0
7,,,,
7,,,,
36,20.0,,50.0,25000.0
25,,,6.0,400.0
3,,,,
28,15.0,,48.0,26500.0
47,,,40.0,106000.0
8,,,,
66,45.0,1.0,40.0,43200.0
35,,,,0.0
88,,,,12000.0
80,,,,27900.0
9,,,,
1,,,,
14,,,,
66,,,40.0,98000.0
68,25.0,1.0,40.0,356100.0
9,,,,
61,30.0,1.0,40.0,517000.0
21,15.0,2.0,40.0,19200.0
55,30.0,1.0,40.0,72000.0
21,10.0,1.0,40.0,27000.0
7,,,,
37,,,40.0,5000.0
51,20.0,2.0,36.0,65010.0
73,,,,17900.0
55,15.0,1.0,40.0,30000.0
54,60.0,1.0,40.0,42000.0
52,,,,0.0
11,,,,
90,,,,15000.0
72,,,,41100.0
56,45.0,1.0,45.0,40000.0
51,20.0,1.0,45.0,125000.0
10,,,,
59,,,,700.0
33,145.0,,30.0,13000.0
41,50.0,1.0,16.0,31000.0
18,5.0,1.0,18.0,7200.0
13,,,,
50,,,,9400.0
58,,,10.0,3500.0
63,,,,6060.0
67,,,,14200.0
18,,,,0.0
60,,,38.0,30100.0
27,3.0,1.0,40.0,7000.0
51,20.0,1.0,40.0,29000.0
37,5.0,1.0,40.0,41000.0
18,,,,0.0
80,,,,21500.0
40,5.0,7.0,20.0,12000.0
48,,,,0.0
23,,,24.0,10000.0
6,,,,
45,30.0,1.0,45.0,28000.0
71,,,,82620.0
7,,,,
72,,,,52400.0
21,20.0,,40.0,17500.0
8,,,,
72,,,,75600.0
41,,,,0.0
47,5.0,1.0,40.0,45000.0
6,,,,
14,,,,
47,60.0,1.0,70.0,106000.0
54,,,,49400.0
0,,,,
63,15.0,2.0,40.0,60000.0
15,,,,0.0
69,,,,148600.0
85,,,40.0,31450.0
4,,,,
85,,,,74600.0
74,,,,59700.0
3,,,,
30,15.0,1.0,40.0,90000.0
52,35.0,1.0,40.0,25000.0
71,30.0,1.0,40.0,110000.0
47,25.0,1.0,40.0,100000.0
71,,,,-1700.0
95,,,,13900.0
57,,,20.0,60000.0
76,,,,15800.0
60,30.0,1.0,60.0,48000.0
